rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-09,AFTERNOON,2PM - 4PM,540.33,89,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,BREAKFAST,Open - 10:30AM (11AM weekend),1092.68,187,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,DINNER,4PM - 9PM,399.18,62,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,EVENING,9PM - Close,0.0,0,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,LATE NIGHT,11PM - 5AM,0.0,0,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,LUNCH,11AM -  2PM,1049.47,161,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,MORNING,Open - 11AM,1092.68,187,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,REGULAR MENU,10:30AM (11AM weekend) - Close,1988.98,312,Sunday
1364,SEA/TCA WA CP-0024,2011-01-09,TOTAL DAY,All hours,3081.66,499,Sunday
1364,SEA/TCA WA CP-0024,2011-01-10,AFTER 4PM,4PM - Close,1484.11,243,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,AFTERNOON,2PM - 4PM,576.4,116,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,BREAKFAST,Open - 10:30AM (11AM weekend),773.59,184,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,DINNER,4PM - 9PM,1213.78,199,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,EVENING,9PM - Close,270.33,44,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,LATE NIGHT,11PM - 5AM,9.14,5,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,LUNCH,11AM -  2PM,876.75,175,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,MORNING,Open - 11AM,861.39,202,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,REGULAR MENU,10:30AM (11AM weekend) - Close,3025.06,552,Monday
1364,SEA/TCA WA CP-0024,2011-01-10,TOTAL DAY,All hours,3798.65,736,Monday
1364,SEA/TCA WA CP-0024,2011-01-11,AFTER 4PM,4PM - Close,1227.54,203,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,AFTERNOON,2PM - 4PM,704.03,125,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,BREAKFAST,Open - 10:30AM (11AM weekend),842.4,202,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,DINNER,4PM - 9PM,1137.92,189,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,EVENING,9PM - Close,89.62,14,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,LATE NIGHT,11PM - 5AM,0.0,0,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,LUNCH,11AM -  2PM,1180.79,205,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,MORNING,Open - 11AM,915.4,220,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,REGULAR MENU,10:30AM (11AM weekend) - Close,3185.36,551,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-11,TOTAL DAY,All hours,4027.76,753,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-12,AFTER 4PM,4PM - Close,1469.53,257,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,AFTERNOON,2PM - 4PM,556.08,98,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,BREAKFAST,Open - 10:30AM (11AM weekend),712.28,161,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,DINNER,4PM - 9PM,1289.15,220,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,EVENING,9PM - Close,180.38,37,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,LATE NIGHT,11PM - 5AM,7.28,1,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,LUNCH,11AM -  2PM,916.38,163,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,MORNING,Open - 11AM,809.05,179,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,REGULAR MENU,10:30AM (11AM weekend) - Close,3038.76,536,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-12,TOTAL DAY,All hours,3751.04,697,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-13,AFTER 4PM,4PM - Close,1835.94,293,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,AFTERNOON,2PM - 4PM,494.0,92,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,BREAKFAST,Open - 10:30AM (11AM weekend),859.65,199,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,DINNER,4PM - 9PM,1416.48,232,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,EVENING,9PM - Close,419.46,61,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,LATE NIGHT,11PM - 5AM,0.0,0,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,LUNCH,11AM -  2PM,1047.7,191,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,MORNING,Open - 11AM,922.45,212,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,REGULAR MENU,10:30AM (11AM weekend) - Close,3440.44,589,Thursday
1364,SEA/TCA WA CP-0024,2011-01-13,TOTAL DAY,All hours,4300.09,788,Thursday
1364,SEA/TCA WA CP-0024,2011-01-14,AFTER 4PM,4PM - Close,2238.06,333,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,AFTERNOON,2PM - 4PM,620.64,114,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,BREAKFAST,Open - 10:30AM (11AM weekend),882.29,223,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,DINNER,4PM - 9PM,1799.0,258,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,EVENING,9PM - Close,439.06,75,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,LATE NIGHT,11PM - 5AM,81.16,17,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,LUNCH,11AM -  2PM,1127.94,207,Friday
1364,SEA/TCA WA CP-0024,2011-01-14,MORNING,Open - 11AM,945.0,241,Friday
